iter	Logloss
258	0.4143314328
259	0.4143202983
260	0.4142897781
261	0.4142575989
262	0.4141978375
263	0.4141879919
264	0.4141689027
265	0.4141366923
266	0.4141144654
267	0.4141022265
268	0.4140932799
269	0.4140837157
270	0.4140506263
271	0.4140380604
272	0.414008762
273	0.413972386
274	0.4139503033
275	0.4139022359
276	0.4138646011
277	0.4138441173
278	0.4138431797
279	0.41379228
280	0.413764851
281	0.4137296987
282	0.413700873
283	0.4136899733
284	0.4136629358
285	0.4136384894
286	0.413596525
287	0.4135895727
288	0.413558788
289	0.4135498152
290	0.4135012421
291	0.4134988148
292	0.4134849885
293	0.4134761168
294	0.4134613585
295	0.4134394479
296	0.4134260284
297	0.4134104528
298	0.413371358
299	0.4133372273
300	0.4133053779
301	0.4132713531
302	0.4132681098
303	0.4132447496
304	0.4132147048
305	0.4131947081
306	0.4131684715
307	0.4131520707
308	0.413122711
309	0.4130948589
310	0.4130706595
311	0.4130387833
312	0.4130130095
313	0.4130009571
314	0.4129958252
315	0.4129806224
316	0.4129361675
317	0.4129321603
318	0.4129025134
319	0.4128548113
320	0.4128236213
321	0.4127906603
322	0.4127828034
323	0.4127612542
324	0.4127549868
325	0.4127215906
326	0.4126990447
327	0.4126969406
328	0.4126584099
329	0.4126325508
330	0.4125948446
331	0.4125873599
332	0.4125664979
333	0.4125384257
334	0.4125093019
335	0.4124938267
336	0.412476471
337	0.4124502131
338	0.41244435
339	0.4124126204
340	0.4123919874
341	0.4123587775
342	0.4123415415
343	0.4123241302
344	0.4122925345
345	0.4122765733
346	0.412235859
347	0.4122156972
348	0.4121822667
349	0.4121528949
350	0.4121369459
351	0.4121241571
352	0.4120870245
353	0.4120578636
354	0.4120233102
355	0.4119804299
356	0.4119631336
357	0.4119460351
358	0.4119302306
359	0.4119010488
360	0.4118628899
361	0.411853833
362	0.4118224154
363	0.4117797782
364	0.4117667436
365	0.4117366403
366	0.4117086197
367	0.4116900077
368	0.4116625366
369	0.4116331171
370	0.4116099741
371	0.4115810197
372	0.4115720582
373	0.4115565939
374	0.4115365825
375	0.4115174673
376	0.4115053829
377	0.4115014005
378	0.4114677719
379	0.4114597549
380	0.4114277205
381	0.4114052171
382	0.4113591069
383	0.411337998
384	0.4113173723
385	0.4112976781
386	0.4112867087
387	0.4112667831
388	0.4112599983
389	0.4112257501
390	0.4112175659
391	0.4111879525
392	0.4111634205
393	0.4111394316
394	0.4111292259
395	0.4111273454
396	0.4111245106
397	0.4111149524
398	0.4110535438
399	0.4110370608
400	0.411021168
401	0.4109997206
402	0.4109667419
403	0.4109493614
404	0.4109404929
405	0.4109174649
406	0.4108887652
407	0.4108793066
408	0.4108478497
409	0.4108327569
410	0.4108056884
411	0.4107746209
412	0.4107611091
413	0.4107408076
414	0.4107138135
415	0.4106857735
416	0.4106674654
417	0.4106583777
418	0.4106357118
419	0.4106147162
420	0.4105562134
421	0.4105290409
422	0.4105061738
423	0.4104803587
424	0.4104672556
425	0.4104213679
426	0.4104038834
427	0.410389078
428	0.4103651181
429	0.410348817
430	0.4103238505
431	0.4103031447
432	0.4102938331
433	0.4102814997
434	0.410268022
435	0.4102407884
436	0.410193748
437	0.4101586034
438	0.4101432553
439	0.4101225288
440	0.4100989801
441	0.4100798917
442	0.4100724434
443	0.4100639783
444	0.410063629
445	0.410055639
446	0.4100419212
447	0.4099926889
448	0.4099748178
449	0.4099527582
450	0.4099298819
451	0.4099200001
452	0.40989507
453	0.4098664194
454	0.4098538639
455	0.4098380714
456	0.4098360753
457	0.4098210308
458	0.4098064796
459	0.4097902073
460	0.40976489
461	0.4097415896
462	0.4097312709
463	0.4097246179
464	0.4097070529
465	0.4096766979
466	0.4096667745
467	0.4096511799
468	0.4096349289
469	0.4096239573
470	0.4096225309
471	0.4096016781
472	0.4095985389
473	0.4095949525
474	0.4095829953
475	0.4095650273
476	0.4095520378
477	0.4095137214
478	0.4094965113
479	0.409492841
480	0.409459806
481	0.4094364862
482	0.4094206648
483	0.4094105489
484	0.4094009516
485	0.4093818823
486	0.409355313
487	0.4093379457
488	0.4093138108
489	0.4092844472
490	0.4092576641
491	0.4092071511
492	0.4091925014
493	0.4091651164
494	0.4091509212
495	0.4091379926
496	0.4091285879
497	0.4091169953
498	0.409105806
499	0.4090843178
