iter	Logloss
0	0.6275427218
1	0.5779387142
2	0.5431374055
3	0.5187116069
4	0.5000721203
5	0.4861512202
6	0.4755283327
7	0.4674659613
8	0.4610426435
9	0.4559943898
10	0.4513563897
11	0.4473817551
12	0.4439824515
13	0.4411779848
14	0.4388729465
15	0.4369447704
16	0.4349940457
17	0.4335910541
18	0.4323654808
19	0.4313041692
20	0.4305081038
21	0.4296835234
22	0.4289515997
23	0.4283008571
24	0.4276270132
25	0.4270979268
26	0.4266829746
27	0.4262523025
28	0.4258126157
29	0.4254921235
30	0.4252530493
31	0.4250182117
32	0.42469277
33	0.4244519497
34	0.4241558551
35	0.4239885404
36	0.4236929674
37	0.4235129653
38	0.4234834113
39	0.4233618108
40	0.4232023619
41	0.4230790222
42	0.422970013
43	0.4227472678
44	0.422568975
45	0.4224855049
46	0.4223826599
47	0.4222922624
48	0.422064965
49	0.4219291674
50	0.4218518248
51	0.4217932657
52	0.4216356012
53	0.4215298176
54	0.4214608601
55	0.4213777672
56	0.4213160752
57	0.4212762199
58	0.4212245679
59	0.4211034242
60	0.4210706907
61	0.4210000748
62	0.4209473386
63	0.4208834329
64	0.4208272544
65	0.4207746765
66	0.4207244696
67	0.4206347161
68	0.4205219696
69	0.4204784484
70	0.4203877391
71	0.4202954035
72	0.420227116
73	0.4201551621
74	0.4200431555
75	0.4200050355
76	0.4199546088
77	0.4199147013
78	0.4198446989
79	0.4197764722
80	0.4197125135
81	0.4197090467
82	0.4197054585
83	0.4196759975
84	0.41964512
85	0.4196179707
86	0.4195478491
87	0.4195110618
88	0.4195095501
89	0.4194379216
90	0.4193581634
91	0.4193318369
92	0.4192942713
93	0.4192426765
94	0.4192054082
95	0.4191524982
96	0.4190608535
97	0.4190231406
98	0.4189805844
99	0.4189694646
100	0.4189431777
101	0.4189059182
102	0.4188317771
103	0.418779231
104	0.4187541163
105	0.4187282882
106	0.4187094536
107	0.4186624193
108	0.4185980096
109	0.4185968583
110	0.4185640085
111	0.4185391645
112	0.4185391645
113	0.4185152945
114	0.4184676625
115	0.418445335
116	0.4183932329
117	0.4183832851
118	0.4183727897
119	0.4183316726
120	0.4182737466
121	0.4182469564
122	0.4182344779
123	0.4182040725
124	0.4181680968
125	0.4181439766
126	0.418124703
127	0.4181045641
128	0.4180892663
129	0.418080589
130	0.4180200885
131	0.4179841861
132	0.4179662341
133	0.417928474
134	0.4178898905
135	0.417868832
136	0.4178409122
137	0.4178279619
138	0.4177885558
139	0.4177504945
140	0.4177504596
141	0.4177204115
142	0.4176969194
143	0.4176618998
144	0.4176478614
145	0.4176100787
146	0.4175727137
147	0.4175567292
148	0.4175266139
149	0.4174838099
150	0.4174492077
151	0.4174370047
152	0.4174115906
153	0.4174021911
154	0.4173813475
155	0.4173221101
156	0.4173218493
157	0.4172960382
158	0.4172588759
159	0.4172257754
160	0.4171796675
161	0.4171497008
162	0.417091192
163	0.4170757548
164	0.4170507091
165	0.4170351865
166	0.4170041376
167	0.4169959267
168	0.4169756337
169	0.4169125384
170	0.4168992405
171	0.4168194905
172	0.4168061081
173	0.41674383
174	0.4166367405
175	0.4165917084
176	0.416565296
177	0.416513277
178	0.4164840455
179	0.4164703746
180	0.4164304532
181	0.4164008968
182	0.416388123
183	0.4163616371
184	0.4163536239
185	0.4163259107
186	0.4163114743
187	0.4163093878
188	0.4162670901
189	0.4162212777
190	0.416194538
191	0.416185689
192	0.4161524053
193	0.4160965032
194	0.4160782011
195	0.4160356381
196	0.4159877759
197	0.4159823197
198	0.415962315
199	0.4159292939
200	0.4158855792
201	0.415854338
202	0.4158454339
203	0.4158248604
204	0.4158081104
205	0.4157941322
206	0.4157528967
207	0.415725524
208	0.4156730333
209	0.4156267048
210	0.4156035325
211	0.4155796628
212	0.4155656051
213	0.4155593944
214	0.41554037
215	0.4155136934
216	0.4154539141
217	0.4154245547
218	0.415399365
219	0.4153601934
220	0.415352712
221	0.4153388339
222	0.415284981
223	0.4152715506
224	0.4152376011
225	0.415216638
226	0.4151955617
227	0.4151882279
228	0.4151765065
229	0.4151611501
230	0.4151243634
231	0.4150758099
232	0.4150571316
233	0.4150336189
234	0.4149977789
235	0.4149283715
236	0.41490471
237	0.4148559035
238	0.4148504312
239	0.4148141793
240	0.4147885314
241	0.4147450897
242	0.4147117413
243	0.4146748145
244	0.4146471522
245	0.4146233146
246	0.4146218631
247	0.4146052971
248	0.4145688527
249	0.4145492647
250	0.4145330832
251	0.4144994474
252	0.4144711644
253	0.4144408754
254	0.4144200407
255	0.4144070978
256	0.414392207
257	0.4143588416
